"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Bifidobacterium_bifidum.t__SGB17256"	"Termness"	"term"	"Termnessterm"	-3.51055585998278	0	0.631457512643637	2.70627604350507e-08	3.40990781481639e-06	5.41255201377084e-08	3.46403328881334e-06	NA	"prevalence"	80	43
"Streptococcus_salivarius.t__SGB8007_group"	"Termness"	"term"	"Termnessterm"	2.62742161783052	0	0.548752664693868	1.68461039470975e-06	0.000106130454866714	3.36921795150731e-06	0.000107814974448234	NA	"prevalence"	80	36
"Haemophilus_parainfluenzae.t__SGB9663_group"	"Termness"	"term"	"Termnessterm"	2.19877248719897	0	0.544890888711003	5.45435376187409e-05	0.00229082857998712	0.000109084100239986	0.00232712747178637	NA	"prevalence"	80	28
"Streptococcus_parasanguinis.t__SGB8071"	"Termness"	"term"	"Termnessterm"	3.42682521972538	0	0.884268608077444	0.000106483978966724	0.00335424533745181	0.000212956619095672	0.00340730590553075	NA	"prevalence"	80	20
"Enterobacter_hormaechei.t__SGB10130"	"Termness"	"term"	"Termnessterm"	-7.00809879832524	0.779093794198263	1.68868530561392	0.000643661447128796	0.0117744100054059	0.000643661447128796	0.00823886652324859	NA	"abundance"	80	18
"Klebsiella_pneumoniae.t__SGB10115"	"Termness"	"term"	"Termnessterm"	-1.89760398986046	0	0.556789940752581	0.000654133889189216	0.0117744100054059	0.00130783988723345	0.0119573932547058	NA	"prevalence"	80	38
"Rothia_mucilaginosa.t__SGB16971_group"	"Termness"	"term"	"Termnessterm"	3.09711446331855	0	0.885316982778406	0.000468214166828236	0.0117744100054059	0.000936209109150453	0.00998623049760483	NA	"prevalence"	80	17
"Veillonella_dispar.t__SGB6952"	"Termness"	"term"	"Termnessterm"	1.78294436546765	0	0.54693124186056	0.00111449195241278	0.0175532482505012	0.00222774181251356	0.0178219345001085	NA	"prevalence"	80	25
"Enterococcus_faecalis.t__SGB7962"	"Termness"	"term"	"Termnessterm"	-1.84487455840071	0	0.609793364274078	0.00248296805663299	0.0312853975135757	0.00495977098289573	0.0317425342905327	NA	"prevalence"	80	62
"Staphylococcus_hominis.t__SGB7858"	"Termness"	"term"	"Termnessterm"	1.7276067388507	0	0.566427729290144	0.00228838454538448	0.0312853975135757	0.0045715323869414	0.0317425342905327	NA	"prevalence"	80	21
"Lactobacillus_acidophilus.t__SGB7044"	"Termness"	"term"	"Termnessterm"	-4.10142268734644	0	1.58513655354531	0.00966961124868155	0.110761001575807	0.00966961124868155	0.0562595563559654	NA	"prevalence"	80	18
"Bifidobacterium_bifidum.t__SGB17256"	"Termness"	"term"	"Termnessterm"	-3.09606927741441	0.779093794198263	1.39965488702477	0.0164357249938369	0.147921524944532	5.41255201377084e-08	3.46403328881334e-06	NA	"abundance"	80	43
"Veillonella_dispar.t__SGB6952"	"Read_depth"	"Read_depth"	"Read_depth"	1.48649599538631	-0.0480775177653041	0.534084664555624	0.0159302987758781	0.147921524944532	0.0316068231326676	0.15560282157621	NA	"abundance"	80	25
"Streptococcus_vestibularis.t__SGB8003"	"Termness"	"term"	"Termnessterm"	1.34527538894681	0	0.551858184018333	0.0147802428979137	0.147921524944532	0.0293420302157061	0.15560282157621	NA	"prevalence"	80	21
"Staphylococcus_aureus.t__SGB7852"	"Termness"	"term"	"Termnessterm"	-1.06295721518465	0	0.47332391143981	0.0247213740572042	0.194680820700483	0.0488316017791323	0.208348167590964	NA	"prevalence"	80	49
"Veillonella_atypica.t__SGB6936"	"Termness"	"term"	"Termnessterm"	1.15710559477257	0	0.511219597999811	0.0236096987083804	0.194680820700483	0.0466619795436604	0.208348167590964	NA	"prevalence"	80	23
"Klebsiella_pneumoniae.t__SGB10115"	"Read_depth"	"Read_depth"	"Read_depth"	0.765788183538383	0	0.35491481597954	0.0309536881725212	0.229421453513981	0.0609492455335608	0.243796982134243	NA	"prevalence"	80	38
"Rothia_mucilaginosa.t__SGB16971_group"	"Termness"	"term"	"Termnessterm"	6.2084034820657	0.779093794198263	2.34523734069342	0.0424192017761574	0.296934412433102	0.000936209109150453	0.00998623049760483	NA	"abundance"	80	17
"Clostridium_perfringens.t__SGB6191"	"Read_depth"	"Read_depth"	"Read_depth"	-0.620032232242996	0	0.326276704901784	0.0573903004302741	0.380588308116555	0.111486954277071	0.419715592572503	NA	"prevalence"	80	32
"Clostridium_neonatale.t__SGB6169"	"Termness"	"term"	"Termnessterm"	1.22964136361403	0	0.68503335345366	0.0726521895290012	0.457708794032708	0.140026038414645	0.497870358807625	NA	"prevalence"	80	11
"Veillonella_dispar.t__SGB6952"	"Termness"	"term"	"Termnessterm"	-1.80441086952325	0.779093794198263	1.29063431000141	0.0834866320174146	0.478150710645193	0.00222774181251356	0.0178219345001085	NA	"abundance"	80	25
"Klebsiella_michiganensis.t__SGB10119"	"Read_depth"	"Read_depth"	"Read_depth"	0.5954511030832	0	0.341107159605286	0.0808731187420275	0.478150710645193	0.155205776148993	0.522798403870292	NA	"prevalence"	80	22
