"feature","metadata","value","name","coef","null_hypothesis","stderr","pval_individual","qval_individual","pval_joint","qval_joint","error","model","N","N_not_zero"
"propionate","Antibiotics","Yes","AntibioticsYes",-2.39260980634898,0,0.719520256987793,0.00140876033821858,0.0788905789402407,0.00281553607074663,0.0900971542638922,NA,"abundance",80,79
"acetate","Sex","Female","SexFemale",-0.717138022375943,0,0.37068544726073,0.0570781233388689,0.686043331387522,0.110898334513851,0.697861027704594,NA,"abundance",80,79
"butyrate","Sex","Female","SexFemale",1.4863169403072,0,0.781528895099933,0.0612538688738859,0.686043331387522,0.0612538688738859,0.605420967601779,NA,"abundance",80,80
"isobutyrate","Sex","Female","SexFemale",1.37437040136532,0,0.651875114075795,0.0385831398140671,0.686043331387522,0.0756776209502224,0.605420967601779,NA,"abundance",80,79
"propionate","Feeding_method","Breastfed","Feeding_methodBreastfed",-1.10886682462439,0,0.489488298770665,0.0265872506440899,0.686043331387522,0.0524676193913681,0.605420967601779,NA,"abundance",80,79
"propionate","Probiotics","Yes","ProbioticsYes",1.70782108692503,0,0.959684250599296,0.079487696883078,0.741885170908728,0.15265709981038,0.697861027704594,NA,"abundance",80,79
"acetate","Probiotics","Yes","ProbioticsYes",1.1531929105284,0,0.749882199393835,0.128597944297328,0.795725352271024,0.240658457317157,0.76799119751286,NA,"abundance",80,79
"butyrate","Delivery_mode","C-section","Delivery_modeC-section",1.39559304065639,0,0.929374097354859,0.137622513510024,0.795725352271024,0.137622513510024,0.697861027704594,NA,"abundance",80,80
"isobutyrate","Read_depth","Read_depth","Read_depth",0.517989193214717,0,0.32626555990152,0.11687700562908,0.795725352271024,0.220093776813341,0.76799119751286,NA,"abundance",80,79
"propionate","Read_depth","Read_depth","Read_depth",0.350936697547805,0,0.236357344687443,0.14209381290554,0.795725352271024,0.263996974145046,0.76799119751286,NA,"abundance",80,79
"acetate","Antibiotics","Yes","AntibioticsYes",-0.36929280561669,0,0.565385099903382,0.515786118100675,0.997925669598608,0.765536916575986,0.997925669598608,NA,"abundance",80,79
"acetate","Delivery_mode","C-section","Delivery_modeC-section",0.0798903977674357,0,0.441470562224986,0.856918559718963,0.997925669598608,0.88136410229981,0.997925669598608,NA,"abundance",80,79
"acetate","Ethnicity","European","EthnicityEuropean",0.426310398921427,0,0.416923393889575,0.31005806540879,0.997925669598608,0.518943413787712,0.997925669598608,NA,"abundance",80,79
"acetate","Feeding_method","Breastfed","Feeding_methodBreastfed",-0.307473448692229,0,0.387474916951062,0.430150077510981,0.997925669598608,0.675271065839259,0.997925669598608,NA,"abundance",80,79
"acetate","Read_depth","Read_depth","Read_depth",-0.119763847993191,0,0.184421797748423,0.518203945500931,0.997925669598608,0.76787256186913,0.997925669598608,NA,"abundance",80,79
"acetate","Termness","term","Termnessterm",0.417452336747137,0,0.648103933582988,0.521607007207693,0.997925669598608,0.77114014444722,0.997925669598608,NA,"abundance",80,79
"butyrate","Antibiotics","Yes","AntibioticsYes",-1.4983335935544,0,1.19105465538749,0.212517316511712,0.997925669598608,0.212517316511712,0.76799119751286,NA,"abundance",80,80
