"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"PWY.822..fructan.biosynthesis"	"Termness"	"preterm"	"Termnesspreterm"	-3.28750819882573	0	0.629491733469813	1.76542310748872e-07	0.000237625950267982	3.53084590330556e-07	0.000290235533251717	NA	"prevalence"	80	34
"PWY.6124..inosine.5..phosphate.biosynthesis.II"	"Termness"	"preterm"	"Termnesspreterm"	-0.426581072939323	0.14211559157611	0.107640151606974	1.07548704937344e-05	0.00723802784228322	1.07548704937344e-05	0.00442025177292482	NA	"abundance"	80	80
"PWY.3841..folate.transformations.II..plants."	"Termness"	"preterm"	"Termnesspreterm"	-0.307075746074967	0.14211559157611	0.0833008748581493	2.29397396220854e-05	0.0102922965104423	2.29397396220854e-05	0.0062854886564514	NA	"abundance"	80	80
"DTDPRHAMSYN.PWY..dTDP..beta..L.rhamnose.biosynthesis"	"Termness"	"preterm"	"Termnesspreterm"	-1.20810997777247	0.14211559157611	0.315688575187862	6.86772234770316e-05	0.0154065904666808	6.86772234770316e-05	0.011290535539624	NA	"abundance"	80	79
"PWY.241..C4.photosynthetic.carbon.assimilation.cycle..NADP.ME.type"	"Termness"	"preterm"	"Termnesspreterm"	-1.80841951014119	0.14211559157611	0.457254111065436	6.34355223485539e-05	0.0154065904666808	6.34355223485539e-05	0.011290535539624	NA	"abundance"	80	79
"PWY.5130..2.oxobutanoate.degradation.I"	"Termness"	"preterm"	"Termnesspreterm"	-2.28413416897084	0	0.56728000755139	5.66212075904904e-05	0.0154065904666808	0.000113239209219832	0.0140871970237782	NA	"prevalence"	80	46
"HOMOSER.METSYN.PWY..L.methionine.biosynthesis.I"	"Termness"	"preterm"	"Termnesspreterm"	1.05160188268471	0.14211559157611	0.213878374472281	9.60761978232583e-05	0.0161648202837632	0.000192143165010728	0.0140871970237782	NA	"abundance"	80	79
"PWY.2942..L.lysine.biosynthesis.III"	"Termness"	"preterm"	"Termnesspreterm"	-2.9515195348529	0	0.751490845772636	8.58147945976808e-05	0.0161648202837632	0.00017162222501639	0.0140871970237782	NA	"prevalence"	80	52
"FASYN.INITIAL.PWY..superpathway.of.fatty.acid.biosynthesis.initiation..E..coli."	"Termness"	"preterm"	"Termnesspreterm"	-1.59563565765419	0.14211559157611	0.405930310268969	0.000151923883421112	0.0204489547084817	0.000151923883421112	0.0140871970237782	NA	"abundance"	80	38
"PWY.7269..mitochondrial.NADPH.production..yeast."	"Termness"	"preterm"	"Termnesspreterm"	2.22238421278285	0.14211559157611	0.511914244090564	0.000151515122709722	0.0204489547084817	0.000151515122709722	0.0140871970237782	NA	"abundance"	80	63
"METSYN.PWY..superpathway.of.L.homoserine.and.L.methionine.biosynthesis"	"Termness"	"preterm"	"Termnesspreterm"	0.914429215705767	0.14211559157611	0.190057173446144	0.00020198884444067	0.0214196883491545	0.000403936889388063	0.0174268662272888	NA	"abundance"	80	79
"NONMEVIPP.PWY..methylerythritol.phosphate.pathway.I"	"Termness"	"preterm"	"Termnesspreterm"	-0.244819925759718	0.14211559157611	0.0841225439587065	0.000222790220570701	0.0214196883491545	0.000222790220570701	0.0140871970237782	NA	"abundance"	80	80
"PWY.2941..L.lysine.biosynthesis.II"	"Termness"	"preterm"	"Termnesspreterm"	-1.25443655763624	0.14211559157611	0.355206413702083	0.000215362144812992	0.0214196883491545	0.000215362144812992	0.0140871970237782	NA	"abundance"	80	80
"PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I"	"Termness"	"preterm"	"Termnesspreterm"	-0.252905622378509	0.14211559157611	0.0851289751867964	0.000197495825981497	0.0214196883491545	0.000197495825981497	0.0140871970237782	NA	"abundance"	80	80
