"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"PWY.822..fructan.biosynthesis"	"Termness"	"term"	"Termnessterm"	3.15146160395886	0	0.618141523381087	3.42744677330978e-07	0.000461334335687497	6.85489237188043e-07	0.000563472152968571	NA	"prevalence"	80	34
"PWY.241..C4.photosynthetic.carbon.assimilation.cycle..NADP.ME.type"	"Termness"	"term"	"Termnessterm"	1.94491894242173	-0.130385493155	0.449794390916989	1.78351580738534e-05	0.00800204092246889	1.78351580738534e-05	0.00488683331223583	NA	"abundance"	80	79
"PWY.6124..inosine.5..phosphate.biosynthesis.II"	"Termness"	"term"	"Termnessterm"	0.431495546293566	-0.130385493155	0.107360924202634	1.38955358348625e-05	0.00800204092246889	1.38955358348625e-05	0.00488683331223583	NA	"abundance"	80	80
"PWY.3841..folate.transformations.II..plants."	"Termness"	"term"	"Termnessterm"	0.309304486987551	-0.130385493155	0.0831751877257092	3.19261555368211e-05	0.00859452107051224	3.19261555368211e-05	0.00656082496281674	NA	"abundance"	80	80
"PWY.5130..2.oxobutanoate.degradation.I"	"Termness"	"term"	"Termnessterm"	2.36333072061502	0	0.566936943488651	3.06482512399924e-05	0.00859452107051224	6.12955631646809e-05	0.00892504081032186	NA	"prevalence"	80	46
"PWY.2942..L.lysine.biosynthesis.III"	"Termness"	"term"	"Termnessterm"	3.00170961980325	0	0.74297292532858	5.34208414617987e-05	0.0119840754345968	0.000106838829137295	0.0125459310786938	NA	"prevalence"	80	52
"DTDPRHAMSYN.PWY..dTDP..beta..L.rhamnose.biosynthesis"	"Termness"	"term"	"Termnessterm"	1.22113097676834	-0.130385493155	0.315003486425163	6.51462832870209e-05	0.0125266996149043	6.51462832870209e-05	0.00892504081032186	NA	"abundance"	80	79
"HOMOSER.METSYN.PWY..L.methionine.biosynthesis.I"	"Termness"	"term"	"Termnessterm"	-1.04146006162839	-0.130385493155	0.214537908586465	9.59140740137698e-05	0.0161375429528168	0.000191818948517946	0.0175194639646391	NA	"abundance"	80	79
"FASYN.INITIAL.PWY..superpathway.of.fatty.acid.biosynthesis.initiation..E..coli."	"Termness"	"term"	"Termnessterm"	1.59563565765419	-0.130385493155	0.405930310268969	0.000166968881985863	0.0245701948381809	0.000166968881985863	0.0171560526240474	NA	"abundance"	80	38
"METSYN.PWY..superpathway.of.L.homoserine.and.L.methionine.biosynthesis"	"Termness"	"term"	"Termnessterm"	-0.911310971561713	-0.130385493155	0.190260809823901	0.000182542309347555	0.0245701948381809	0.000365051297000409	0.0190616169888899	NA	"abundance"	80	79
"COA.PWY.1..superpathway.of.coenzyme.A.biosynthesis.III..mammals."	"Termness"	"term"	"Termnessterm"	0.337580778858496	-0.130385493155	0.115789938729117	0.000470784258774337	0.0271485530242767	0.000470784258774337	0.0190616169888899	NA	"abundance"	80	80
"MET.SAM.PWY..superpathway.of.S.adenosyl.L.methionine.biosynthesis"	"Read_depth"	"Read_depth"	"Read_depth"	0.385862118495737	0.029647592946875	0.0891129254995976	0.000359087132933533	0.0271485530242767	0.000359087132933533	0.0190616169888899	NA	"abundance"	80	79
"MET.SAM.PWY..superpathway.of.S.adenosyl.L.methionine.biosynthesis"	"Termness"	"term"	"Termnessterm"	-0.842531670879936	-0.130385493155	0.178826909842803	0.000288577810346524	0.0271485530242767	0.000577072343540424	0.0190616169888899	NA	"abundance"	80	79
"METSYN.PWY..superpathway.of.L.homoserine.and.L.methionine.biosynthesis"	"Read_depth"	"Read_depth"	"Read_depth"	0.398549038174589	0.029647592946875	0.0948106601307061	0.000455506040735076	0.0271485530242767	0.000455506040735076	0.0190616169888899	NA	"abundance"	80	79
"NONMEVIPP.PWY..methylerythritol.phosphate.pathway.I"	"Termness"	"term"	"Termnessterm"	0.238362217576668	-0.130385493155	0.0843454724009945	0.000463005710731768	0.0271485530242767	0.000463005710731768	0.0190616169888899	NA	"abundance"	80	80
"OANTIGEN.PWY..O.antigen.building.blocks.biosynthesis..E..coli."	"Termness"	"term"	"Termnessterm"	0.868551764642981	-0.130385493155	0.264976664592943	0.000412601584250272	0.0271485530242767	0.000825032928433218	0.0205508202173365	NA	"abundance"	80	79
"PWY.5347..superpathway.of.L.methionine.biosynthesis..transsulfuration."	"Read_depth"	"Read_depth"	"Read_depth"	0.393894724884594	0.029647592946875	0.0930045672799056	0.000433609397682	0.0271485530242767	0.000433609397682	0.0190616169888899	NA	"abundance"	80	79
"PWY.5347..superpathway.of.L.methionine.biosynthesis..transsulfuration."	"Termness"	"term"	"Termnessterm"	-0.863121876272215	-0.130385493155	0.186636442184896	0.000322605057721748	0.0271485530242767	0.000645106041420227	0.0190616169888899	NA	"abundance"	80	79
"PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I"	"Termness"	"term"	"Termnessterm"	0.253919194810973	-0.130385493155	0.0850718547389485	0.000299800011853368	0.0271485530242767	0.000299800011853368	0.0190616169888899	NA	"abundance"	80	80
"PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis"	"Termness"	"term"	"Termnessterm"	0.323020482538809	-0.130385493155	0.10779908821377	0.000335596186328502	0.0271485530242767	0.000335596186328502	0.0190616169888899	NA	"abundance"	80	80
"PWY.7269..mitochondrial.NADPH.production..yeast."	"Termness"	"term"	"Termnessterm"	-2.15764246603542	-0.130385493155	0.518048812306553	0.000253888917039813	0.0271485530242767	0.000253888917039813	0.0190616169888899	NA	"abundance"	80	63
"PWY.7851..coenzyme.A.biosynthesis.II..eukaryotic."	"Termness"	"term"	"Termnessterm"	0.361193740011247	-0.130385493155	0.123470815488271	0.000484075239660209	0.0271485530242767	0.000484075239660209	0.0190616169888899	NA	"abundance"	80	80
"PWY.8131..5..deoxyadenosine.degradation.II"	"Termness"	"term"	"Termnessterm"	-2.00315851967213	-0.130385493155	0.498119958921984	0.000383633054185872	0.0271485530242767	0.000383633054185872	0.0190616169888899	NA	"abundance"	80	71
"PWY1ZNC.1..assimilatory.sulfate.reduction.IV"	"Termness"	"term"	"Termnessterm"	-0.899662518691795	-0.130385493155	0.202299357933549	0.000463475671753089	0.0271485530242767	0.000926736533807871	0.0224052185526491	NA	"abundance"	80	79
"COA.PWY..coenzyme.A.biosynthesis.I..prokaryotic."	"Termness"	"term"	"Termnessterm"	0.366363505697521	-0.130385493155	0.125289373734324	0.000511263893595792	0.0275264480311975	0.000511263893595792	0.0190616169888899	NA	"abundance"	80	80
"HOMOSER.METSYN.PWY..L.methionine.biosynthesis.I"	"Read_depth"	"Read_depth"	"Read_depth"	0.429360334557261	0.029647592946875	0.106908410381361	0.000649300822005983	0.0291319635473351	0.000649300822005983	0.0190616169888899	NA	"abundance"	80	79
"PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II"	"Termness"	"term"	"Termnessterm"	0.241394027365159	-0.130385493155	0.088337832404333	0.000631884601215216	0.0291319635473351	0.000631884601215216	0.0190616169888899	NA	"abundance"	80	80
"PWY.6123..inosine.5..phosphate.biosynthesis.I"	"Termness"	"term"	"Termnessterm"	0.2616793921608	-0.130385493155	0.0957984798696573	0.000634146532187629	0.0291319635473351	0.000634146532187629	0.0190616169888899	NA	"abundance"	80	80
"PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis"	"Termness"	"term"	"Termnessterm"	0.241394027365159	-0.130385493155	0.088337832404333	0.000629336318998197	0.0291319635473351	0.000629336318998197	0.0190616169888899	NA	"abundance"	80	80
"PWY.7858...5Z..dodecenoate.biosynthesis.II"	"Termness"	"term"	"Termnessterm"	-0.88157358292465	-0.130385493155	0.201246935293939	0.000565938275057354	0.0291319635473351	0.000565938275057354	0.0190616169888899	NA	"abundance"	80	80
"AST.PWY..L.arginine.degradation.II..AST.pathway."	"Termness"	"term"	"Termnessterm"	-1.03323113545465	-0.130385493155	0.252881239550077	0.000823386982661711	0.0292999499045913	0.00164609599920021	0.0316680534496529	NA	"abundance"	80	76
"LACTOSECAT.PWY..lactose.and.galactose.degradation.I"	"Termness"	"term"	"Termnessterm"	1.95254985316368	-0.130385493155	0.591837063634156	0.000774897329247515	0.0292999499045913	0.000774897329247515	0.0199051751450455	NA	"abundance"	80	78
"PWY.2941..L.lysine.biosynthesis.II"	"Termness"	"term"	"Termnessterm"	1.14444500066048	-0.130385493155	0.359920742772416	0.000773735854615931	0.0292999499045913	0.000773735854615931	0.0199051751450455	NA	"abundance"	80	80
"PWY.5676..acetyl.CoA.fermentation.to.butanoate.II"	"Termness"	"term"	"Termnessterm"	2.17265557580442	-0.130385493155	0.62553162467852	0.000683160072552869	0.0292999499045913	0.000683160072552869	0.0193640544702917	NA	"abundance"	80	45
"PWY.7115..C4.photosynthetic.carbon.assimilation.cycle..NAD.ME.type"	"Termness"	"term"	"Termnessterm"	-0.70418424454958	-0.130385493155	0.153854680475461	0.000762341286069446	0.0292999499045913	0.000762341286069446	0.0199051751450455	NA	"abundance"	80	80
"DENITRIFICATION.PWY..nitrate.reduction.I..denitrification."	"Termness"	"term"	"Termnessterm"	1.77568739249391	0	0.523973854553273	0.00070177310296005	0.0292999499045913	0.00140305372043206	0.0316680534496529	NA	"prevalence"	80	27
"PWY.7383..anaerobic.energy.metabolism..invertebrates..cytosol."	"Termness"	"term"	"Termnessterm"	1.75717102092641	0	0.525543286940534	0.00082719026476558	0.0292999499045913	0.00165369628579704	0.0316680534496529	NA	"prevalence"	80	27
"PWY66.399..gluconeogenesis.III"	"Termness"	"term"	"Termnessterm"	1.75717102092641	0	0.525543286940534	0.00082719026476558	0.0292999499045913	0.00165369628579704	0.0316680534496529	NA	"prevalence"	80	27
"GLUCUROCAT.PWY..superpathway.of..beta..D.glucuronosides.degradation"	"Termness"	"term"	"Termnessterm"	2.06927642805145	-0.130385493155	0.629867526409811	0.000914820678514117	0.0315730418789744	0.0018288044601544	0.0319846226861046	NA	"abundance"	80	66
"P4.PWY..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.I"	"Read_depth"	"Read_depth"	"Read_depth"	0.363055837644094	0.029647592946875	0.0922201902948599	0.00109009631479395	0.0366817409928165	0.00217900431961238	0.0365539091983954	NA	"abundance"	80	78
"ECASYN.PWY..enterobacterial.common.antigen.biosynthesis"	"Termness"	"term"	"Termnessterm"	-1.25203610931532	-0.130385493155	0.337708372734377	0.00162970446234745	0.0461449563098637	0.0032567529880603	0.0469658062488696	NA	"abundance"	80	74
"HEME.BIOSYNTHESIS.II.1..heme.b.biosynthesis.V..aerobic."	"Termness"	"term"	"Termnessterm"	-0.902664856963752	-0.130385493155	0.226533442036747	0.00141720708204507	0.0461449563098637	0.00283240568817674	0.0447737976092554	NA	"abundance"	80	79
"P4.PWY..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.I"	"Termness"	"term"	"Termnessterm"	-0.759437081164255	-0.130385493155	0.186362082483005	0.00176057693608067	0.0461449563098637	0.00176057693608067	0.0316680534496529	NA	"abundance"	80	78
"PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing."	"Termness"	"term"	"Termnessterm"	0.220296697336062	-0.130385493155	0.0905266227421774	0.00146735659304786	0.0461449563098637	0.00146735659304786	0.0316680534496529	NA	"abundance"	80	80
"PWY.5005..biotin.biosynthesis.II"	"Termness"	"term"	"Termnessterm"	1.94624473436754	-0.130385493155	0.633977602262361	0.00177217817358155	0.0461449563098637	0.00177217817358155	0.0316680534496529	NA	"abundance"	80	67
"PWY.6386..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.II..lysine.containing."	"Termness"	"term"	"Termnessterm"	0.227974317018685	-0.130385493155	0.0954257633634335	0.0016703772761425	0.0461449563098637	0.0016703772761425	0.0316680534496529	NA	"abundance"	80	80
"PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing."	"Termness"	"term"	"Termnessterm"	0.213418901248393	-0.130385493155	0.0908410333367938	0.00171180847576347	0.0461449563098637	0.00171180847576347	0.0316680534496529	NA	"abundance"	80	80
"PWY.6629..superpathway.of.L.tryptophan.biosynthesis"	"Termness"	"term"	"Termnessterm"	0.151048913587573	-0.130385493155	0.0662845589810623	0.00159815437752786	0.0461449563098637	0.00159815437752786	0.0316680534496529	NA	"abundance"	80	80
"PWY.7977..L.methionine.biosynthesis.IV"	"Termness"	"term"	"Termnessterm"	-0.671047540831976	-0.130385493155	0.156125762494296	0.00164174073657353	0.0461449563098637	0.00164174073657353	0.0316680534496529	NA	"abundance"	80	80
"PWY0.1261..anhydromuropeptides.recycling.I"	"Termness"	"term"	"Termnessterm"	-0.666955243932545	-0.130385493155	0.15632743804563	0.00178271748002445	0.0461449563098637	0.00356225687843532	0.0496300873571836	NA	"abundance"	80	79
"SO4ASSIM.PWY..assimilatory.sulfate.reduction.I"	"Termness"	"term"	"Termnessterm"	-1.02454632569372	-0.130385493155	0.269391299902749	0.00172451726324696	0.0461449563098637	0.00172451726324696	0.0316680534496529	NA	"abundance"	80	80
"PWY66.430..myristate.biosynthesis..mitochondria."	"Termness"	"term"	"Termnessterm"	-1.69065706782427	0	0.533872237537828	0.00154135743739639	0.0461449563098637	0.00308033909204295	0.0452149773867734	NA	"prevalence"	80	52
"PWY.7315..dTDP.N.acetylthomosamine.biosynthesis"	"Termness"	"term"	"Termnessterm"	-0.901503578533805	-0.130385493155	0.23265200956048	0.0018479998094465	0.0469322215757545	0.00369258451559728	0.0505884078636828	NA	"abundance"	80	76
"PWY.6385..peptidoglycan.biosynthesis.III..mycobacteria."	"Termness"	"term"	"Termnessterm"	0.184266183009591	-0.130385493155	0.0821060428588229	0.00215489535331537	0.0517944490279015	0.00215489535331537	0.0365539091983954	NA	"abundance"	80	80
"PWY.7187..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.II"	"Termness"	"term"	"Termnessterm"	-0.927739774099129	-0.130385493155	0.243458162192021	0.00209303163487373	0.0517944490279015	0.00418168248832288	0.0563498853344493	NA	"abundance"	80	78
"PWY.7388..octanoyl..acyl.carrier.protein..biosynthesis..mitochondria..yeast."	"Termness"	"term"	"Termnessterm"	-1.66446447487898	0	0.542512063766313	0.00215446825435078	0.0517944490279015	0.00430429477524255	0.0570666178266028	NA	"prevalence"	80	56
"P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate"	"Termness"	"term"	"Termnessterm"	-0.780036031175022	-0.130385493155	0.198157916702007	0.00226977984007704	0.053598660784977	0.00453440777963165	0.0591632253151939	NA	"abundance"	80	79
"HISTSYN.PWY..L.histidine.biosynthesis"	"Termness"	"term"	"Termnessterm"	0.261819303630895	-0.130385493155	0.111633414545078	0.0023395644311115	0.0542940297288978	0.0023395644311115	0.038462439247473	NA	"abundance"	80	80
"PWY.5972..stearate.biosynthesis.I..animals."	"Termness"	"term"	"Termnessterm"	2.71644429830323	-0.130385493155	0.852583134340784	0.00259481524245753	0.0582103552724638	0.00518289741877257	0.0645506314883492	NA	"abundance"	80	29
"PWY.6151..S.adenosyl.L.methionine.salvage.I"	"Termness"	"term"	"Termnessterm"	0.204266198891497	-0.130385493155	0.0925232296946947	0.00257104342079806	0.0582103552724638	0.00257104342079806	0.0414391704293334	NA	"abundance"	80	80
"PWY.7340..9.cis..11.trans.octadecadienoyl.CoA.degradation..isomerase.dependent..yeast."	"Termness"	"term"	"Termnessterm"	-1.48214905482873	0	0.492944926810017	0.00264079916958398	0.0582707488895087	0.00527462451891387	0.0647125575305553	NA	"prevalence"	80	48
"PWY66.391..fatty.acid..beta..oxidation.VI..mammalian.peroxisome."	"Termness"	"term"	"Termnessterm"	-1.4842344628061	0	0.496863015183624	0.00281535711867654	0.061120494866752	0.0056227880016474	0.0669845179326691	NA	"prevalence"	80	50
"HEME.BIOSYNTHESIS.II..heme.b.biosynthesis.I..aerobic."	"Termness"	"term"	"Termnessterm"	-0.70896378245536	-0.130385493155	0.180420527943273	0.00298032852929409	0.0626014891517823	0.00298032852929409	0.0452149773867734	NA	"abundance"	80	80
"PWY.6588..pyruvate.fermentation.to.acetone"	"Read_depth"	"Read_depth"	"Read_depth"	-0.846503398045475	0.029647592946875	0.282572346973307	0.00306961239525827	0.0626014891517823	0.00612980227025942	0.0688264130118596	NA	"abundance"	80	66
"PWY.8187..L.arginine.degradation.XIII..reductive.Stickland.reaction."	"Read_depth"	"Read_depth"	"Read_depth"	-0.419638497728682	0.029647592946875	0.142771603256924	0.00305262755121993	0.0626014891517823	0.00305262755121993	0.0452149773867734	NA	"abundance"	80	80
"TRPSYN.PWY..L.tryptophan.biosynthesis"	"Termness"	"term"	"Termnessterm"	0.224763992064844	-0.130385493155	0.102057735150157	0.00304936403920331	0.0626014891517823	0.00304936403920331	0.0452149773867734	NA	"abundance"	80	80
"PWY.7118..chitin.deacetylation"	"Termness"	"term"	"Termnessterm"	-1.01072690153381	-0.130385493155	0.284285612187187	0.00327083593258681	0.0657096293322664	0.00653097349747573	0.0688264130118596	NA	"abundance"	80	76
"P161.PWY..acetylene.degradation..anaerobic."	"Termness"	"term"	"Termnessterm"	-1.16228200887036	-0.130385493155	0.335745749648909	0.00332803393350556	0.065875495213213	0.00332803393350556	0.0471662740231305	NA	"abundance"	80	80
"PWY.6803..phosphatidylcholine.acyl.editing"	"Termness"	"term"	"Termnessterm"	-0.822878031070237	-0.130385493155	0.222742817891933	0.00350228501383976	0.0683199366467871	0.00699230402736135	0.0717058736751354	NA	"abundance"	80	75
"PPGPPMET.PWY..ppGpp.metabolism"	"Termness"	"term"	"Termnessterm"	-1.12142452316	-0.130385493155	0.328050421751197	0.0038758926754896	0.0741155604586025	0.00773676280694729	0.0759902781199148	NA	"abundance"	80	79
"PWY.7723..bacterial.bioluminescence"	"Termness"	"term"	"Termnessterm"	-2.93188959330613	-0.130385493155	0.829743367472806	0.00390951321884159	0.0741155604586025	0.00780374214407488	0.0759902781199148	NA	"abundance"	80	19
"PWY.5675..nitrate.reduction.V..assimilatory."	"Termness"	"term"	"Termnessterm"	-1.09122117445977	-0.130385493155	0.318589898967166	0.00397307944311676	0.0741558256921557	0.0079303735259722	0.0759902781199148	NA	"abundance"	80	79
"PWY.6284..superpathway.of.unsaturated.fatty.acids.biosynthesis..E..coli."	"Read_depth"	"Read_depth"	"Read_depth"	-0.736025918998454	0.029647592946875	0.255147027934759	0.00405776602258967	0.0741558256921557	0.00809906658008526	0.076008975854362	NA	"abundance"	80	72
"X3.HYDROXYPHENYLACETATE.DEGRADATION.PWY..4.hydroxyphenylacetate.degradation"	"Termness"	"term"	"Termnessterm"	-1.60623437891186	0	0.559244956135399	0.00407691760863263	0.0741558256921557	0.00813721396007769	0.076008975854362	NA	"prevalence"	80	56
"PWY.5367..petroselinate.biosynthesis"	"Read_depth"	"Read_depth"	"Read_depth"	-0.992460016487328	0.029647592946875	0.34325189748107	0.00416745996705004	0.0747920148753246	0.00831755221152311	0.0768205384030561	NA	"abundance"	80	72
"FAO.PWY..fatty.acid..beta..oxidation.I..generic."	"Termness"	"term"	"Termnessterm"	-0.726335560793137	-0.130385493155	0.195497967983392	0.00447014186718753	0.0764262615835757	0.00892030156606228	0.0793569530555267	NA	"abundance"	80	75
"PWY.5138..fatty.acid..beta..oxidation.IV..unsaturated..even.number."	"Termness"	"term"	"Termnessterm"	-0.809280031231678	-0.130385493155	0.224604046935467	0.00443399995795746	0.0764262615835757	0.00884833956028775	0.0793569530555267	NA	"abundance"	80	75
"PWY.5505..L.glutamate.and.L.glutamine.biosynthesis"	"Termness"	"term"	"Termnessterm"	1.84284034362467	-0.130385493155	0.66243255367854	0.00454349645583862	0.0764262615835757	0.00906634955163303	0.0793569530555267	NA	"abundance"	80	54
"PWY.6285..superpathway.of.fatty.acids.biosynthesis..E..coli."	"Read_depth"	"Read_depth"	"Read_depth"	-0.604973828745064	0.029647592946875	0.214190213784065	0.0046559832465477	0.0764262615835757	0.00929028831310327	0.0798337673774921	NA	"abundance"	80	72
"PWY.6549..L.glutamine.biosynthesis.III"	"Termness"	"term"	"Termnessterm"	1.46842596682138	-0.130385493155	0.541330922228513	0.00464051899071916	0.0764262615835757	0.00464051899071916	0.0596016657870492	NA	"abundance"	80	64
"PWY.7942..5.oxo.L.proline.metabolism"	"Termness"	"term"	"Termnessterm"	-0.828409206957311	-0.130385493155	0.230378730293274	0.00432473955744506	0.0764262615835757	0.00863077574265038	0.0788277517828735	NA	"abundance"	80	75
"PWY1ZNC.1..assimilatory.sulfate.reduction.IV"	"Read_depth"	"Read_depth"	"Read_depth"	0.340621992447496	0.029647592946875	0.100564819535558	0.00454778251767041	0.0764262615835757	0.00907488270951279	0.0793569530555267	NA	"abundance"	80	79
"PWY.7200..superpathway.of.pyrimidine.deoxyribonucleoside.salvage"	"Termness"	"term"	"Termnessterm"	1.63300210347263	-0.130385493155	0.597932361066008	0.00481535089924168	0.0780899073539674	0.00960751419420052	0.0798337673774921	NA	"abundance"	80	59
"PWY.622..starch.biosynthesis"	"Termness"	"term"	"Termnessterm"	-1.85936378482391	0	0.66059670909889	0.00488268743409906	0.0782392534083016	0.00974153423161901	0.0798337673774921	NA	"prevalence"	80	65
"TRNA.CHARGING.PWY..tRNA.charging"	"Termness"	"term"	"Termnessterm"	0.112956206355474	-0.130385493155	0.0635992397874954	0.00511233487550555	0.080955326381535	0.00511233487550555	0.0645506314883492	NA	"abundance"	80	80
"PWY.5913..partial.TCA.cycle..obligate.autotrophs."	"Termness"	"term"	"Termnessterm"	-0.638345519244099	-0.130385493155	0.168677915406751	0.00539569007451168	0.084448823724334	0.00539569007451168	0.0652243711948324	NA	"abundance"	80	80
"PWY0.1296..purine.ribonucleosides.degradation"	"Read_depth"	"Read_depth"	"Read_depth"	-0.197176543509591	0.029647592946875	0.0722173374401027	0.00571738468488914	0.0884551699524228	0.00571738468488914	0.0671384315854124	NA	"abundance"	80	80
"PWY.5030..L.histidine.degradation.III"	"Termness"	"term"	"Termnessterm"	3.82177629715761	-0.130385493155	1.28416251965378	0.00597980747751092	0.0914638734628375	0.00597980747751092	0.0688264130118596	NA	"abundance"	80	23
"FOLSYN.PWY..superpathway.of.tetrahydrofolate.biosynthesis.and.salvage"	"Termness"	"term"	"Termnessterm"	0.748695561751512	-0.130385493155	0.308810118973291	0.00649250283172553	0.0921346052499915	0.00649250283172553	0.0688264130118596	NA	"abundance"	80	77
"PWY.5154..L.arginine.biosynthesis.III..via.N.acetyl.L.citrulline."	"Read_depth"	"Read_depth"	"Read_depth"	0.290847926527932	0.029647592946875	0.0870806943650256	0.00649424521919084	0.0921346052499915	0.00649424521919084	0.0688264130118596	NA	"abundance"	80	80
"PWY.5855..ubiquinol.7.biosynthesis..early.decarboxylation."	"Termness"	"term"	"Termnessterm"	-0.975126779358881	-0.130385493155	0.296197183800172	0.00640158957469494	0.0921346052499915	0.012762198800307	0.0971345130912259	NA	"abundance"	80	76
"PWY.5897..superpathway.of.menaquinol.11.biosynthesis"	"Termness"	"term"	"Termnessterm"	-0.636021395812797	-0.130385493155	0.172260031482304	0.00649645723955561	0.0921346052499915	0.00649645723955561	0.0688264130118596	NA	"abundance"	80	80
"PWY.5898..superpathway.of.menaquinol.12.biosynthesis"	"Termness"	"term"	"Termnessterm"	-0.636021395812797	-0.130385493155	0.172260031482304	0.00646600989945612	0.0921346052499915	0.00646600989945612	0.0688264130118596	NA	"abundance"	80	80
"PWY.5899..superpathway.of.menaquinol.13.biosynthesis"	"Termness"	"term"	"Termnessterm"	-0.636021395812797	-0.130385493155	0.172260031482304	0.00650281389208707	0.0921346052499915	0.00650281389208707	0.0688264130118596	NA	"abundance"	80	80
