"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"PWY.6609..adenine.and.adenosine.salvage.III"	"propionate"	"propionate"	"propionate"	-0.526291615495883	0.222072893642755	0.0969145435522703	1.77838409554099e-08	0.00013842941799691	1.77838409554099e-08	8.77099035920814e-05	NA	"abundance"	80	80
"PWY.7199..pyrimidine.deoxyribonucleosides.salvage"	"propionate"	"propionate"	"propionate"	-0.410092620962699	0.222072893642755	0.103900584580314	1.83339698167639e-06	0.00475705403512302	1.83339698167639e-06	0.00301410463787599	NA	"abundance"	80	80
"PWY.I9..L.cysteine.biosynthesis.VI..from.L.methionine."	"propionate"	"propionate"	"propionate"	-0.330259931341972	0.222072893642755	0.0869076005532783	1.66751719410385e-06	0.00475705403512302	1.66751719410385e-06	0.00301410463787599	NA	"abundance"	80	80
"PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I"	"propionate"	"propionate"	"propionate"	-0.281450243057199	0.222072893642755	0.0783221774033388	2.45739130821931e-06	0.00478208348579479	2.45739130821931e-06	0.00302996348303441	NA	"abundance"	80	80
"PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II"	"propionate"	"propionate"	"propionate"	-0.277738013840403	0.222072893642755	0.0817737972389027	4.78317563412656e-06	0.00620537318934019	4.78317563412656e-06	0.00393177037125203	NA	"abundance"	80	80
"PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis"	"propionate"	"propionate"	"propionate"	-0.277738013840403	0.222072893642755	0.0817737972389027	4.77409768340209e-06	0.00620537318934019	4.77409768340209e-06	0.00393177037125203	NA	"abundance"	80	80
"PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing."	"propionate"	"propionate"	"propionate"	-0.241115265356762	0.222072893642755	0.0797414150445191	1.27044103828133e-05	0.00760701003229377	1.27044103828133e-05	0.00481985784677195	NA	"abundance"	80	80
"PWY.6123..inosine.5..phosphate.biosynthesis.I"	"propionate"	"propionate"	"propionate"	-0.305845110096059	0.222072893642755	0.0924688047433243	9.12362410376844e-06	0.00760701003229377	9.12362410376844e-06	0.00481985784677195	NA	"abundance"	80	80
"PWY.6124..inosine.5..phosphate.biosynthesis.II"	"propionate"	"propionate"	"propionate"	-0.33542691182783	0.222072893642755	0.099502853424726	9.33971352834462e-06	0.00760701003229377	9.33971352834462e-06	0.00481985784677195	NA	"abundance"	80	80
"PWY.6151..S.adenosyl.L.methionine.salvage.I"	"propionate"	"propionate"	"propionate"	-0.272975683377368	0.222072893642755	0.0843703628008162	9.44978113770478e-06	0.00760701003229377	9.44978113770478e-06	0.00481985784677195	NA	"abundance"	80	80
